code,bond_name,bond_price,u1,stock_name,stock_price,u2,PB,convert_price,u3,u4,u5,rank,u6,back_sell_price,130_sell_price,bond_percentage,u7,expire,remaining_time,pretax_return,tax_return,back_sell_return,u8,u9
128039,三力转债,112.206,-0.70%,三力士,6.5,-1.22%,2.33,5.840*,111.3,0.81%,购买,AA-,购买,4.09,7.59,10.20%,会员,2024/6/7,5.121,-0.29%,-0.67%,购买,185.68,???
128049,华源转债,108.399,0.00%,华源控股,8.14,-0.25%,1.9,7.57,107.53,0.81%,购买,AA-,购买,5.3,9.84,15.80%,会员,2024/11/27,5.595,1.20%,0.69%,购买,51.18,???
128062,亚药转债,104.198,-1.30%,亚太药业,16.8,-2.33%,3.65,16.3,103.07,1.09%,购买,AA,购买,11.41,21.19,10.70%,会员,2025/4/2,5.94,2.46%,1.86%,购买,1639.38,???
113524,奇精转债,106.7,0.02%,奇精机械,15.57,2.43%,2.93,14.76,105.49,1.15%,购买,AA,购买,10.33,19.19,10.80%,会员,2024/12/14,5.641,1.88%,1.30%,购买,72.69,???
128034,江银转债,111.5,0.08%,江阴银行,5.15,0.19%,1.06,4.680**,110.04,1.33%,购买,AA+,购买,-,6.08,15.70%,会员,2024/1/26,4.756,-0.37%,-0.74%,购买,384.52,???
123008,康泰转债?!,175.22,0.41%,康泰生物,54.0,-0.64%,21.18,31.23,172.91,1.34%,购买,AA-,购买,21.86,40.6,0.00%,会员,2024/2/1,4.773,-9.30%,-9.65%,购买,68.04,???
113015,隆基转债,126.24,-1.71%,隆基股份,23.36,-0.81%,4.2,18.76,124.52,1.38%,购买,AA+,购买,13.13,24.39,3.30%,会员,2023/11/1,4.521,-2.99%,-3.39%,购买,1351.92,???
123015,蓝盾转债,129.5,1.33%,蓝盾股份,7.43,1.92%,2.13,5.820*,127.66,1.44%,购买,AA,购买,4.07,7.57,1.10%,会员,2024/8/13,5.303999999999999,-2.54%,-2.97%,购买,109.17,???
128038,利欧转债,121.499,1.75%,利欧股份,2.06,1.48%,1.63,1.720*,119.77,1.44%,购买,AA,购买,1.2,2.24,1.70%,会员,2024/3/22,4.91,-1.35%,-1.84%,购买,436.59,???
128048,张行转债,111.499,0.00%,张家港行,6.65,0.00%,1.34,6.06,109.74,1.60%,购买,AA+,购买,-,7.88,20.80%,会员,2024/11/12,5.553,0.46%,-0.01%,购买,543.03,???
